"InvID","PlotID","Invdate","Species","Less than 1 foot","1 to 3 feet","3 to 5 feet","5 to 7 feet","7 to 9 feet","9 to 11 feet","11 to 13 feet","13 to 15 feet","More than 15 feet","15 to 17 feet","17 to 19 feet","19 to 21 feet","21 to 23 feet","23 to 25 feet","More than 25 feet","Comment"
3610,"0010-50911","2000-08-31 00:00:00","SP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","WF",2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","IC",0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","GS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","YW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","LP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","BO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","MD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","DW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3610,"0010-50911","2000-08-31 00:00:00","HW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
